WORD,,AOA,,   FAM,,IMAG,,CONC,,Adult WrtFQ,,Child Written,,,Adult,,,,Lexical,PHON:,PHON:,,VOICE,MANNER,,,,,PLACE,,,,,,VOWEL,,,
Italian,English,mean,sd,mean,sd,mean,sd,mean,sd,ILC,CoLFIS,TotFQ,CompFQ,ProdFQ,SpkFQ,NSIZE,BIGR,SYL,LET,Stress,VOICE,MANN,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,RT,,
CANZONE,song,2.50,0.90,6.86,0.51,5.02,1.84,5.52,1.72,64,171,178,92,86,30,1,10.88,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,506,,
CAPARRA,deposit,6.32,1.14,4.23,1.85,2.61,1.56,3.14,1.76,3,17,0,0,0,0,0,10.89,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,595,,
CAPRA,goat,2.86,0.80,6.27,1.28,5.80,1.50,6.41,1.26,18,28,58,20,38,10,1,11.10,2,5,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,517,,
CAPRICCIO,whim,2.68,1.34,5.68,1.41,3.27,1.85,4.39,2.41,20,22,16,3,13,4,0,10.87,3,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,539,,
CARAMELLA,candy,1.52,0.59,6.93,0.25,6.48,0.90,6.80,0.55,3,7,103,22,81,2,1,11.24,4,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,532,,
CARATTERE,character,3.98,1.07,6.00,1.56,2.82,1.79,3.00,1.80,89,271,281,43,238,35,0,11.41,4,9,ap,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,578,,
CARCASSA,carcass,5.61,1.17,4.82,1.79,3.77,1.72,5.39,1.67,4,4,0,0,0,1,0,10.88,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,514,,
CARCERE,prison,3.86,1.29,6.70,0.70,5.84,1.35,6.25,1.26,193,385,9,3,6,53,0,11.18,3,7,ap,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,556,,
CARCIOFO,artichoke,3.27,0.97,6.36,0.94,6.32,1.12,5.05,2.33,1,6,0,0,0,2,0,10.53,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,545,,
CARNEVALE,carnival,2.48,0.59,6.75,0.49,5.25,1.82,5.25,2.01,17,79,310,18,292,4,0,10.97,4,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,575,,
